ID	age	sex	culture	age_m	longitudinal	adult	condition	conc	concern.exp	pat	hug	kiss	object	verbal	comf	cue2	hypoth	conc9prop
UG55	18	M	Uganda	18	NA	Experimenter	experimental	Y	0.060188685	N	N	N	N	N	N	NA	Y	NA
UG56	18	M	Uganda	17	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG56	18	M	Uganda	17	NA	Experimenter	experimental	Y	0.077857143	N	N	N	N	N	N	NA	Y	NA
UG59	18	F	Uganda	17	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	Y	NA
UG59	18	F	Uganda	17	NA	Experimenter	experimental	N	0	N	N	N	Y	N	Y	Before	Y	NA
UG60	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG60	18	F	Uganda	18	NA	Experimenter	experimental	Y	0.186304348	N	N	N	N	N	N	NA	Y	NA
UG61	18	M	Uganda	17	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	Y	NA
UG61	18	M	Uganda	17	NA	Experimenter	experimental	Y	0.231479	N	N	N	N	N	N	NA	Y	NA
UG62	18	F	Uganda	17	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG62	18	F	Uganda	17	NA	Experimenter	experimental	Y	0.574883202	N	N	N	N	N	N	NA	Y	NA
UG63	18	M	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG63	18	M	Uganda	18	NA	Experimenter	experimental	Y	0.307651274	N	N	N	N	N	N	NA	Y	NA
UG64	18	M	Uganda	17	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG64	18	M	Uganda	17	NA	Experimenter	experimental	Y	0.668422161	N	N	N	N	N	N	NA	Y	NA
UG65	18	M	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG65	18	M	Uganda	18	NA	Experimenter	experimental	Y	0.206066	Y	N	N	N	N	Y	After	Y	NA
UG66	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG66	18	F	Uganda	18	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	Y	NA
UG67	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG67	18	F	Uganda	18	NA	Experimenter	experimental	N	0	Y	N	N	N	N	Y	After	Y	NA
UG69	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG69	18	F	Uganda	18	NA	Experimenter	experimental	Y	0.280657928	N	N	N	N	N	N	NA	Y	NA
UG70	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG70	18	F	Uganda	18	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	Y	NA
UG71	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG71	18	F	Uganda	18	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	Y	NA
UG72	18	M	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG72	18	M	Uganda	18	NA	Experimenter	experimental	Y	0.182642857	N	N	N	N	N	N	NA	Y	NA
UG73	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG73	18	F	Uganda	18	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG74	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG74	18	F	Uganda	18	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	Y	NA
UG75	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG75	18	F	Uganda	18	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	N	NA
